pqif,seed,nloop,sigma2,tau_rec,tau_div,tau_con,tau_chn,sim,vrest,gain
0.0,0,15,10.839460217448066,-0.0006919116708236,-0.0002804785493305,-0.0048939554632269,-6.271758751071616e-05,1,-8.5,14.44
0.0,1,15,10.849923574170631,-0.0098454971963239,0.0007256319866632,-0.0048983129174969,0.0004990681833738,1,-8.5,14.44
0.0,2,15,9.54177328586929,-0.0093425629336911,0.0010815581755275,-0.0048964847142259,0.000324441920696,1,-8.5,14.44
0.0,3,15,10.53903515209011,0.0105920676395684,-0.0009128840986702,-0.0049293955118956,-6.696349128464718e-05,1,-8.5,14.44
0.0,4,15,11.645812206483576,-0.0184198214049297,-0.0001044255700543,-0.0049015585457869,-6.630617355727384e-05,1,-8.5,14.44
0.0,5,15,11.058683400718596,-0.0056351385526393,-0.0017017699684576,-0.0049221913432767,0.0001601382807702,1,-8.5,14.44
0.0,6,15,10.263471669587297,-0.0052537203313742,0.0018221527205027,-0.0048825613737755,-6.327685673004264e-05,1,-8.5,14.44
0.0,7,15,10.28028688156693,0.0047303570762997,-0.0001781249740515,-0.0048608372923486,-0.0001774685342633,1,-8.5,14.44
0.0,8,15,10.408580007744618,-0.0133515645923932,-0.0003083310105841,-0.0049243798548595,0.0003754115532797,1,-8.5,14.44
0.0,9,15,11.148427605222514,0.0168104448228338,-0.0012279387822782,-0.0049228152966381,-0.0003920136456884,1,-8.5,14.44
0.0,10,15,9.343470465654766,0.0022622537174695,-3.922043593189299e-05,-0.0049072035861956,2.7607719198931494e-05,1,-8.5,14.44
0.0,11,15,13.313248683484831,-5.808905896306761e-05,0.0009192122195604,-0.004927806183924,0.0002295293025784,1,-8.5,14.44
0.0,12,15,11.897785526064135,0.0148473894862716,-0.0003693332454511,-0.0048188293465201,-6.40074523688694e-05,1,-8.5,14.44
0.0,13,15,9.950043408131757,-0.0037209294310506,0.0006836486741002,-0.0048562679808506,-3.8964714436189165e-05,1,-8.5,14.44
0.0,14,15,10.398711591362774,0.005889621525359,-0.0005399180591151,-0.0048829011195622,-0.0001011270439958,1,-8.5,14.44
0.0,15,15,11.122357782683894,-0.0224338815064695,-0.0009901251419064,-0.004902628863385,0.0003955909952998,1,-8.5,14.44
0.0,16,15,10.802843057296805,0.0117481312038925,0.0014384400132721,-0.0048873572193849,0.0002333245843063,1,-8.5,14.44
0.0,17,15,10.53604509188036,-0.0004509745789333,0.0002330876107223,-0.0048903325257483,-0.0001922770523327,1,-8.5,14.44
0.0,18,15,9.930736603606976,0.003965651690283,-0.0013117889082367,-0.0048369184840226,-0.0001111216440867,1,-8.5,14.44
0.0,19,15,10.373661128975384,-0.0085474407396458,-0.0006872495223188,-0.004891877776733,0.0001233128632994,1,-8.5,14.44
0.0,20,15,10.226243231328532,-0.0163104270918906,0.0008675338608547,-0.0048824482356186,0.000507843469621,1,-8.5,14.44
0.0,21,15,12.093560669512703,0.0047402800005226,-0.0003142467065229,-0.0049459594588174,-0.0001132092984725,1,-8.5,14.44
0.0,22,15,11.180962795872263,0.0214164907245727,-0.0010698830311718,-0.0049023267125304,-0.0005063973876733,1,-8.5,14.44
0.0,23,15,10.566036258900686,0.0101044755623852,-0.0004459579839094,-0.0048632311326169,4.744953130239156e-05,1,-8.5,14.44
0.0,24,15,11.85362017708414,0.0084250383724562,-0.0011049400959881,-0.0049206485639054,3.815048486220949e-05,1,-8.5,14.44
0.0,25,15,9.8651653358191,-0.0054902644341505,0.0050272550996091,-0.0049223899725651,-0.0003497647616706,1,-8.5,14.44
0.0,26,15,10.675263407731435,-0.0003159507800976,-0.0013660704272001,-0.0049110818129472,-0.0001067408866501,1,-8.5,14.44
0.0,27,15,11.038000104137542,0.0142927500205714,-0.0002390842298467,-0.004916316609097,6.128652828928468e-05,1,-8.5,14.44
0.0,28,15,11.93073561344314,-0.0137912570616768,0.0008523238088628,-0.0049036050029228,8.169125669156111e-05,1,-8.5,14.44
0.0,29,15,9.76921810642387,-0.0072773168905371,0.0002825317594701,-0.0049113918847465,3.269837926810435e-05,1,-8.5,14.44
0.0,30,15,10.19743257414369,0.0031656133768807,-0.0009776917172076,-0.0048802276953796,-4.688683498937584e-05,1,-8.5,14.44
0.0,31,15,10.447857919635542,-0.0242083680848775,0.0002439323691583,-0.0048140015346231,0.0002588581488132,1,-8.5,14.44
0.0,32,15,9.741092366713472,-0.0058493696937454,0.0001808123945657,-0.0049059960321589,0.0001762677965685,1,-8.5,14.44
0.0,33,15,10.280514257876156,-0.0067445149366238,0.0004799514654658,-0.0048743330478382,-0.0001318654677555,1,-8.5,14.44
0.0,34,15,11.725277407603455,-0.007161334587931,-0.000505729422099,-0.0049340934856851,-8.893122825855712e-05,1,-8.5,14.44
0.0,35,15,11.036512839333191,0.0087828188402538,-0.0021527403021537,-0.0049053253192775,-9.426470625403306e-05,1,-8.5,14.44
0.0,36,15,10.29823126874806,-0.0089173181217943,4.882508729294077e-05,-0.0049299677308831,0.0002573002329403,1,-8.5,14.44
0.0,37,15,11.197621388826803,0.0098618182624968,0.001495807744873,-0.0049226797216292,-0.000448150399215,1,-8.5,14.44
0.0,38,15,9.82600986114857,-0.0011216677324757,-0.0009955614357601,-0.0049233325191598,-4.408871046459963e-05,1,-8.5,14.44
0.0,39,15,10.823689538771571,0.0015233811931715,-0.0008433380040305,-0.0049068873391361,-0.0001561480651479,1,-8.5,14.44
0.0,40,15,9.958962175778668,-0.0019829964224106,-0.0007044822019204,-0.0048438211628263,-0.000370947122934,1,-8.5,14.44
0.0,41,15,9.412840869926653,0.0018845865450936,-0.0004095493902229,-0.0048437467078281,-0.0003536281954397,1,-8.5,14.44
0.0,42,15,12.089037717623246,-0.0094022416440265,0.0008312597937913,-0.0049389856606843,0.0001691917333143,1,-8.5,14.44
0.0,43,15,11.071817170501204,0.0018118134907356,-0.0008111928826402,-0.0049218652743283,-0.0001463793546918,1,-8.5,14.44
0.0,44,15,8.86574076813229,-0.0022145867048991,-5.264339232532008e-05,-0.0048282402937676,-0.0002368016967344,1,-8.5,14.44
0.0,45,15,9.852002378401789,-0.0076453280562125,0.0004381774156541,-0.0048404149096992,-0.0002803497804354,1,-8.5,14.44
0.0,46,15,11.26236588634518,-0.0008791458909489,0.0008595937800212,-0.004800786220564,-3.55929757955893e-05,1,-8.5,14.44
0.0,47,15,10.982289940038717,-0.0011573602031942,-0.0014545066359397,-0.0049309242357033,5.113269736755291e-06,1,-8.5,14.44
0.0,48,15,10.927216982047623,0.0079678374425437,-0.0007060435519986,-0.0048816790025395,-0.0002034455858736,1,-8.5,14.44
