simulationID,dynamic,simulation,vrest,slope,pqif,seed,mean,std_pop,std_sample,num_zero_weights,num_non_zero_weights,frac_zero_weights
oscillations_1_0_38,oscillations,1,-8.5,14.44,0.0,38,0.0005633225948197234,0.4057983579039448,0.4058153607471804,28066,11934,0.70
oscillations_1_0_39,oscillations,1,-8.5,14.44,0.0,39,-0.0007018381696766179,0.4257410540999013,0.42575887909327725,28057,11943,0.70
oscillations_1_0_40,oscillations,1,-8.5,14.44,0.0,40,-0.0005694413738388615,0.40839762680344854,0.4084147270913992,28058,11942,0.70
oscillations_1_0_41,oscillations,1,-8.5,14.44,0.0,41,-0.0001736406521777645,0.39722530230194747,0.39724195012166946,28069,11931,0.70
oscillations_1_0_42,oscillations,1,-8.5,14.44,0.0,42,0.0002301192486656853,0.45005255062025945,0.45007140296294734,28063,11937,0.70
oscillations_1_0_43,oscillations,1,-8.5,14.44,0.0,43,-5.7993899981307325e-05,0.43077414347496723,0.43079219430962384,28067,11933,0.70
oscillations_1_0_44,oscillations,1,-8.5,14.44,0.0,44,0.00015757594371340546,0.38526648568454763,0.38528261203124836,28054,11946,0.70
oscillations_1_0_45,oscillations,1,-8.5,14.44,0.0,45,-0.0007368967209647417,0.4061643981167232,0.4061814020477426,28056,11944,0.70
oscillations_1_0_46,oscillations,1,-8.5,14.44,0.0,46,0.00048746083788825303,0.4342103689929687,0.434228542493824,28053,11947,0.70
oscillations_1_0_47,oscillations,1,-8.5,14.44,0.0,47,-0.00042672918818284456,0.4287773814902865,0.42879532759813116,28053,11947,0.70
oscillations_1_0_48,oscillations,1,-8.5,14.44,0.0,48,-0.00027038424430102486,0.42773682694905163,0.4277547325030687,28055,11945,0.70
oscillations_1_0_49,oscillations,1,-8.5,14.44,0.0,49,-0.0007460122772197277,0.4143587965710084,0.41437613774980486,28052,11948,0.70
oscillations_1_0.25_0,oscillations,1,-8.5,14.44,0.25,0,9.507422489593006e-05,0.44889576518793506,0.44891456749857545,28062,11938,0.70
oscillations_1_0.25_1,oscillations,1,-8.5,14.44,0.25,1,-0.0002340693247896718,0.44489411041272203,0.4449127466724605,28063,11937,0.70
oscillations_1_0.25_2,oscillations,1,-8.5,14.44,0.25,2,0.002203057036243265,0.43233070130286466,0.4323488219182216,28070,11930,0.70
oscillations_1_0.25_3,oscillations,1,-8.5,14.44,0.25,3,0.0010162968242040822,0.43907588779229895,0.43909427879056007,28062,11938,0.70
oscillations_1_0.25_4,oscillations,1,-8.5,14.44,0.25,4,-0.0004001398854220447,0.471233193392758,0.47125294124791145,28068,11932,0.70
