dyn,pqif,seed,sim,vr,f,quadrant,shape,mean_q,std_q,mean_all,std_all
oscillations,0.25,40,1,-8.5,14.44,q1,"(50, 50)",0.001280850902447236,0.061886386681645894,-8.600253728986432e-20,0.06349569349586098
oscillations,0.25,40,1,-8.5,14.44,q2,"(50, 150)",-0.0004334307964531273,0.06278937593750555,-8.600253728986432e-20,0.06349569349586098
oscillations,0.25,40,1,-8.5,14.44,q3,"(150, 50)",-1.150761995312985e-05,0.0632550813084664,-8.600253728986432e-20,0.06349569349586098
oscillations,0.25,40,1,-8.5,14.44,q4,"(150, 150)",3.882337462877565e-06,0.06398823962634773,-8.600253728986432e-20,0.06349569349586098
oscillations,0.25,41,1,-8.5,14.44,q1,"(50, 50)",0.0030457124283897615,0.06585480093535677,3.161703897919032e-19,0.06386889976977297
oscillations,0.25,41,1,-8.5,14.44,q2,"(50, 150)",-0.0009924231508236302,0.062456302850634964,3.161703897919032e-19,0.06386889976977297
oscillations,0.25,41,1,-8.5,14.44,q3,"(150, 50)",-0.0008755167495745745,0.06403503590362078,3.161703897919032e-19,0.06386889976977297
oscillations,0.25,41,1,-8.5,14.44,q4,"(150, 150)",0.0003042194311968016,0.06404433798372669,3.161703897919032e-19,0.06386889976977297
oscillations,0.25,42,1,-8.5,14.44,q1,"(50, 50)",-0.0003367575010870828,0.06485726077685756,2.2773328954551518e-19,0.06471052173493423
oscillations,0.25,42,1,-8.5,14.44,q2,"(50, 150)",0.00011424632807750073,0.0651515111061766,2.2773328954551518e-19,0.06471052173493423
oscillations,0.25,42,1,-8.5,14.44,q3,"(150, 50)",-0.0025220899988153103,0.06613339082417179,2.2773328954551518e-19,0.06471052173493423
oscillations,0.25,42,1,-8.5,14.44,q4,"(150, 150)",0.0008251999535294337,0.06405019387345975,2.2773328954551518e-19,0.06471052173493423
oscillations,0.25,43,1,-8.5,14.44,q1,"(50, 50)",0.0018092948705958182,0.06164218714348437,3.953785700232039e-20,0.0638983076240446
oscillations,0.25,43,1,-8.5,14.44,q2,"(50, 150)",-0.0005748862783887859,0.06572209132705761,3.953785700232039e-20,0.0638983076240446
oscillations,0.25,43,1,-8.5,14.44,q3,"(150, 50)",-0.0012997875701499962,0.06218451922039053,3.953785700232039e-20,0.0638983076240446
oscillations,0.25,43,1,-8.5,14.44,q4,"(150, 150)",0.000428113065372536,0.06405993802287277,3.953785700232039e-20,0.0638983076240446
oscillations,0.25,44,1,-8.5,14.44,q1,"(50, 50)",0.0012034847495489497,0.06308428812370469,-5.579477466915939e-20,0.06354497518772066
oscillations,0.25,44,1,-8.5,14.44,q2,"(50, 150)",-0.00037380965705687057,0.06342533083662301,-5.579477466915939e-20,0.06354497518772066
oscillations,0.25,44,1,-8.5,14.44,q3,"(150, 50)",-0.0015202849972473693,0.06451696560120415,-5.579477466915939e-20,0.06354497518772066
oscillations,0.25,44,1,-8.5,14.44,q4,"(150, 150)",0.0005241813613286026,0.06328466030240688,-5.579477466915939e-20,0.06354497518772066
oscillations,0.25,45,1,-8.5,14.44,q1,"(50, 50)",-0.0017543403079643444,0.06317683930911706,-1.7674266835255948e-19,0.06381403231632961
oscillations,0.25,45,1,-8.5,14.44,q2,"(50, 150)",0.0005924571614945233,0.06306719649476979,-1.7674266835255948e-19,0.06381403231632961
oscillations,0.25,45,1,-8.5,14.44,q3,"(150, 50)",0.0010885246238251827,0.06350939546336423,-1.7674266835255948e-19,0.06381403231632961
oscillations,0.25,45,1,-8.5,14.44,q4,"(150, 150)",-0.0003617648601436812,0.06421957822512374,-1.7674266835255948e-19,0.06381403231632961
oscillations,0.25,46,1,-8.5,14.44,q1,"(50, 50)",0.0021178693485714188,0.0658590464079954,-1.1396205841845288e-19,0.06356620674865063
oscillations,0.25,46,1,-8.5,14.44,q2,"(50, 150)",-0.0007068989814991388,0.06344311213488599,-1.1396205841845288e-19,0.06356620674865063
