simulationID,dynamic,simulation,vrest,slope,pqif,seed,std,mean
oscillations_1_0.25_1,oscillations,1,-8.5,14.44,0.25,1,0.2409518141095148,0.00017158702078583942
oscillations_1_0.25_2,oscillations,1,-8.5,14.44,0.25,2,0.24147915335582226,0.00036125928465733325
oscillations_1_0.25_3,oscillations,1,-8.5,14.44,0.25,3,0.2510012320201823,0.0004874024784933905
oscillations_1_0.25_4,oscillations,1,-8.5,14.44,0.25,4,0.24798588125626445,0.00032016797397331855
oscillations_1_0.25_5,oscillations,1,-8.5,14.44,0.25,5,0.2398842016846967,-0.00015241574837405252
oscillations_1_0.25_6,oscillations,1,-8.5,14.44,0.25,6,0.24157230881978234,0.00024613571333913204
oscillations_1_0.25_7,oscillations,1,-8.5,14.44,0.25,7,0.23934380632881955,0.0003281037290321139
oscillations_1_0.25_8,oscillations,1,-8.5,14.44,0.25,8,0.23654293196236426,-0.0002694682796602385
oscillations_1_0.25_9,oscillations,1,-8.5,14.44,0.25,9,0.24593410351129982,0.00026697252451969133
oscillations_1_0.25_10,oscillations,1,-8.5,14.44,0.25,10,0.25840098947998996,0.00031272499799325163
oscillations_1_0.25_11,oscillations,1,-8.5,14.44,0.25,11,0.23681645351411965,0.0005097060428439184
oscillations_1_0.25_12,oscillations,1,-8.5,14.44,0.25,12,0.23643874863674919,-6.516656854804157e-05
oscillations_1_0.25_13,oscillations,1,-8.5,14.44,0.25,13,0.24068043262871644,-0.0001904290100377476
oscillations_1_0.25_14,oscillations,1,-8.5,14.44,0.25,14,0.24164310603441572,-5.4977706464376005e-05
oscillations_1_0.25_15,oscillations,1,-8.5,14.44,0.25,15,0.24378899571496343,-0.00014985567320540975
oscillations_1_0.25_16,oscillations,1,-8.5,14.44,0.25,16,0.2396459927147253,-1.710736245428024e-06
oscillations_1_0.25_17,oscillations,1,-8.5,14.44,0.25,17,0.2577262504512052,-0.00010988702623886147
oscillations_1_0.25_18,oscillations,1,-8.5,14.44,0.25,18,0.2458494441928141,0.00030973817471932695
oscillations_1_0.25_19,oscillations,1,-8.5,14.44,0.25,19,0.24124966029365152,0.00016632758429321298
oscillations_1_0.25_20,oscillations,1,-8.5,14.44,0.25,20,0.24602905424234822,6.245459234243077e-05
oscillations_1_0.25_21,oscillations,1,-8.5,14.44,0.25,21,0.24302336831131457,0.00030132498157867295
oscillations_1_0.25_22,oscillations,1,-8.5,14.44,0.25,22,0.2394709640838493,-7.164844667655492e-05
oscillations_1_0.25_23,oscillations,1,-8.5,14.44,0.25,23,0.237741353993638,0.0003256667124534404
oscillations_1_0.25_24,oscillations,1,-8.5,14.44,0.25,24,0.25157248042080343,0.0001597638615292017
oscillations_1_0.25_25,oscillations,1,-8.5,14.44,0.25,25,0.24212395658941263,0.00019758331792817194
oscillations_1_0.25_26,oscillations,1,-8.5,14.44,0.25,26,0.23757575794001948,0.0003817154771005797
oscillations_1_0.25_27,oscillations,1,-8.5,14.44,0.25,27,0.23373137759190443,0.00015330961758091034
oscillations_1_0.25_28,oscillations,1,-8.5,14.44,0.25,28,0.2316870832426333,-0.00018081933512519675
oscillations_1_0.25_29,oscillations,1,-8.5,14.44,0.25,29,0.2325633071228073,6.488342155080674e-05
oscillations_1_0.25_30,oscillations,1,-8.5,14.44,0.25,30,0.24444169149808287,0.00013363219063244758
oscillations_1_0.25_31,oscillations,1,-8.5,14.44,0.25,31,0.24267020463686478,-0.00019042523922189805
oscillations_1_0.25_32,oscillations,1,-8.5,14.44,0.25,32,0.24161229364678774,0.00023972219173879625
oscillations_1_0.25_33,oscillations,1,-8.5,14.44,0.25,33,0.239188625449569,-5.878100818189371e-05
oscillations_1_0.25_34,oscillations,1,-8.5,14.44,0.25,34,0.2486565522766291,0.0004106530911235696
oscillations_1_0.25_35,oscillations,1,-8.5,14.44,0.25,35,0.2390891532078194,-0.00023328601123388294
oscillations_1_0.25_36,oscillations,1,-8.5,14.44,0.25,36,0.24938111914849348,0.00035175558540797295
oscillations_1_0.25_37,oscillations,1,-8.5,14.44,0.25,37,0.2479603434617491,-2.483315159769619e-05
oscillations_1_0.25_38,oscillations,1,-8.5,14.44,0.25,38,0.2528008161038765,0.00014355901496538136
oscillations_1_0.25_39,oscillations,1,-8.5,14.44,0.25,39,0.24275834214395856,-0.00011405069726388084
oscillations_1_0.25_40,oscillations,1,-8.5,14.44,0.25,40,0.24763434768339043,-0.00012247169476399221
oscillations_1_0.25_41,oscillations,1,-8.5,14.44,0.25,41,0.25065846624823285,4.924093466276086e-05
oscillations_1_0.25_42,oscillations,1,-8.5,14.44,0.25,42,0.24358510069284345,-4.956103106175792e-05
oscillations_1_0.25_43,oscillations,1,-8.5,14.44,0.25,43,0.2412221526346378,0.0002059299883593018
oscillations_1_0.25_44,oscillations,1,-8.5,14.44,0.25,44,0.24797957769237364,0.00019856574806907415
oscillations_1_0.25_45,oscillations,1,-8.5,14.44,0.25,45,0.2306635771141409,0.0006882183951856391
oscillations_1_0.25_46,oscillations,1,-8.5,14.44,0.25,46,0.23418325969579673,0.0004420595435430935
oscillations_1_0.25_47,oscillations,1,-8.5,14.44,0.25,47,0.25293659442352784,-2.7534967765627273e-05
oscillations_1_0.25_48,oscillations,1,-8.5,14.44,0.25,48,0.24581907547664336,-7.091066767258703e-05
oscillations_1_0.25_49,oscillations,1,-8.5,14.44,0.25,49,0.24239598408793545,-0.00010675415551628598
oscillations_1_0.5_0,oscillations,1,-8.5,14.44,0.5,0,0.24792148236797842,8.05350463608927e-05
oscillations_1_0.5_1,oscillations,1,-8.5,14.44,0.5,1,0.2573170368136799,-0.00021033501710090698
oscillations_1_0.5_2,oscillations,1,-8.5,14.44,0.5,2,0.2504922788521638,-0.00011166529638131033
oscillations_1_0.5_3,oscillations,1,-8.5,14.44,0.5,3,0.2528016650979961,-0.00015786941534430245
oscillations_1_0.5_4,oscillations,1,-8.5,14.44,0.5,4,0.2578668162584854,0.0003190383186044528
oscillations_1_0.5_5,oscillations,1,-8.5,14.44,0.5,5,0.2478628570766302,7.333718911828895e-05
oscillations_1_0.5_6,oscillations,1,-8.5,14.44,0.5,6,0.25305683182561045,1.6145719387136726e-05
oscillations_1_0.5_7,oscillations,1,-8.5,14.44,0.5,7,0.2487596213843256,0.0004884653575151875
oscillations_1_0.5_8,oscillations,1,-8.5,14.44,0.5,8,0.24942268335883266,0.0005408235693374109
oscillations_1_0.5_9,oscillations,1,-8.5,14.44,0.5,9,0.24620388450086508,-0.00033238630462817387
oscillations_1_0.5_10,oscillations,1,-8.5,14.44,0.5,10,0.251869110732208,-0.0003235417544412557
oscillations_1_0.5_11,oscillations,1,-8.5,14.44,0.5,11,0.25844840725385626,-0.0002472223915820734
oscillations_1_0.5_12,oscillations,1,-8.5,14.44,0.5,12,0.25257097414539187,0.00045282120589300486
oscillations_1_0.5_13,oscillations,1,-8.5,14.44,0.5,13,0.252309292495175,0.00012139375877997824
oscillations_1_0.5_14,oscillations,1,-8.5,14.44,0.5,14,0.2579203354016407,-0.00037624302134339624
oscillations_1_0.5_15,oscillations,1,-8.5,14.44,0.5,15,0.2516109629561394,0.00025942175354398185
oscillations_1_0.5_16,oscillations,1,-8.5,14.44,0.5,16,0.25003280243645243,0.0002223042958328402
oscillations_1_0.5_17,oscillations,1,-8.5,14.44,0.5,17,0.2517378502642762,0.00019494285979524174
oscillations_1_0.5_18,oscillations,1,-8.5,14.44,0.5,18,0.2463221051667939,4.014249657812154e-05
oscillations_1_0.5_19,oscillations,1,-8.5,14.44,0.5,19,0.2628632962139877,0.00042528197649893115
oscillations_1_0.5_20,oscillations,1,-8.5,14.44,0.5,20,0.25918488592927486,0.0006325963417123708
oscillations_1_0.5_21,oscillations,1,-8.5,14.44,0.5,21,0.243547752062145,-5.368085400317013e-06
oscillations_1_0.5_22,oscillations,1,-8.5,14.44,0.5,22,0.2598225785176686,0.00015872140611885262
oscillations_1_0.5_23,oscillations,1,-8.5,14.44,0.5,23,0.25671311936308616,0.00034442047678854854
oscillations_1_0.5_24,oscillations,1,-8.5,14.44,0.5,24,0.2516884461525202,-0.00023136762415899042
oscillations_1_0.5_25,oscillations,1,-8.5,14.44,0.5,25,0.2532140133830131,0.00017756523400229226
oscillations_1_0.5_26,oscillations,1,-8.5,14.44,0.5,26,0.2575163296191467,-0.0001394004273610578
oscillations_1_0.5_27,oscillations,1,-8.5,14.44,0.5,27,0.24726882142695375,-0.0005573624754891256
oscillations_1_0.5_28,oscillations,1,-8.5,14.44,0.5,28,0.24932774133714286,0.00033205865763913725
oscillations_1_0.5_29,oscillations,1,-8.5,14.44,0.5,29,0.25363081873353366,-4.456697878899147e-05
oscillations_1_0.5_30,oscillations,1,-8.5,14.44,0.5,30,0.24818328268279524,1.5829565911386336e-05
oscillations_1_0.5_31,oscillations,1,-8.5,14.44,0.5,31,0.2576348655819647,9.300112509759716e-05
