pqif,seed,nloop,sigma2,tau_rec,tau_div,tau_con,tau_chn,sim,vrest,gain
0.0,0,15,13.050491040971249,-0.0072629554575713,0.0003087877993661,-0.0049345744217748,0.0003617156925952,1,-8.5,14.44
0.0,1,15,10.858564892805791,0.0010520461249755,-0.0001268428045481,-0.004941986531037,-0.0001614697234205,1,-8.5,14.44
0.0,2,15,10.938580073807282,-0.0004722096337097,-0.0004040079875788,-0.0049411615783151,6.903451209998544e-06,1,-8.5,14.44
0.0,3,15,11.425570442284164,-0.0017313677516474,0.0001412532227234,-0.0049360738102106,1.895632530556472e-05,1,-8.5,14.44
0.0,4,15,10.951790258319797,0.0006320385280063,0.000346425854811,-0.0049522676837761,3.6431019998996393e-05,1,-8.5,14.44
0.0,5,15,10.422796751138977,-0.0131670946570681,0.0005204689388713,-0.0049385753107392,9.483397577143912e-05,1,-8.5,14.44
0.0,6,15,11.296881332593998,-0.0021972618637053,0.0007596669898819,-0.0048990461060632,0.0001299895854227,1,-8.5,14.44
0.0,7,15,11.40294311785888,-0.0034237899731075,0.0007111858118201,-0.0049298983207081,1.0959268804933424e-05,1,-8.5,14.44
0.0,8,15,10.957678110589816,0.0028594737135039,0.0004342709610656,-0.0049416354770519,-0.0002159426456791,1,-8.5,14.44
0.0,9,15,10.433483017374224,-0.0049754233621611,1.048245927718458e-05,-0.0049596030426083,9.02373896505146e-05,1,-8.5,14.44
0.0,10,15,10.937835756401988,-0.0140876565536542,-6.163086490792769e-05,-0.0049359560833132,-1.1461337510639424e-05,1,-8.5,14.44
0.0,11,15,11.470788240310666,-0.0170110252102015,0.0001545115321468,-0.004926898267659,0.0001168366753722,1,-8.5,14.44
0.0,12,15,10.942956242511572,-0.0044676745919576,-0.0009498085045664,-0.0049422490140029,6.591269661017604e-05,1,-8.5,14.44
0.0,13,15,11.33177348652973,-0.0001776409762103,0.0007194558912746,-0.0049303368035341,2.781586081954678e-05,1,-8.5,14.44
0.0,14,15,11.09419726595048,-0.0052350455333004,0.0001644436707481,-0.0049325496023251,0.0003908731515821,1,-8.5,14.44
0.0,15,15,10.709083758873447,0.004375398991207,0.0005006961892858,-0.0049531520436891,6.81404631379671e-05,1,-8.5,14.44
0.0,16,15,10.568089427710357,-0.0082788850322125,-0.0004705432199071,-0.0049351131323056,1.2537347568007778e-05,1,-8.5,14.44
0.0,17,15,10.123319767600451,-0.0013237229432788,-0.0004309963980389,-0.0049067524703182,4.50687428706918e-05,1,-8.5,14.44
0.0,18,15,10.399872417652068,-0.00011621706807,-9.466452513032524e-05,-0.0049526601541504,-4.759767057866313e-06,1,-8.5,14.44
0.0,19,15,10.421676668936598,-0.0034606698371876,-0.000172215836908,-0.0049611664018908,-6.03678657918405e-05,1,-8.5,14.44
0.0,20,15,11.445662905486047,-0.0186070776171328,-0.0008284254407733,-0.0049174213368197,0.0001796091064492,1,-8.5,14.44
0.0,21,15,9.956213845742983,-0.0008314557132886,0.0002703787567641,-0.0049306524959527,2.231951616040352e-05,1,-8.5,14.44
0.0,22,15,12.44272668974798,-0.0102677931715214,-0.0002871642726905,-0.0049007858211096,5.248289751153e-05,1,-8.5,14.44
