dyn,pqif,seed,sim,vr,f,quadrant,shape,num_weights,mean_q,std_q,mean_all,std_all,num_zero_weights,num_non_zero_weights,frac_zero_weights,mean_in_deg,mean_out_deg,tau_rec,tau_div,tau_con,tau_chn
oscillations,0.25,0,1,-8.5,14.44,q1,"(50, 50)",699,0.034269607872921305,0.5094666430584042,0.0010970587783065639,0.4616816949070985,28062,11938,0.70,0.06457527271039534,0.9133040318852568,-0.16437220118253942,0.001628135225799737,0.0006716070457154801,-0.008586002823276623
oscillations,0.25,0,1,-8.5,14.44,q2,"(50, 150)",2211,-0.009373899713999198,0.4991605553564261,0.0010970587783065639,0.4616816949070985,28062,11938,0.70,0.06457527271039534,-0.2171234259922604,0.018222173786632597,0.018394290429588168,-0.0038104367605601383,0.002749685114244102
oscillations,0.25,0,1,-8.5,14.44,q3,"(150, 50)",2182,0.009949929280976553,0.48189969012539313,0.0010970587783065639,0.4616816949070985,28062,11938,0.70,0.06578616039936001,0.9133040318852568,-0.03618805526103072,0.0002212295743997417,-0.003994676939866925,-0.0008198928603471234
oscillations,0.25,0,1,-8.5,14.44,q4,"(150, 150)",6846,-0.0017298892245379567,0.4364862914368995,0.0010970587783065639,0.4616816949070985,28062,11938,0.70,0.06578616039936001,-0.2171234259922604,0.014714481028326683,-0.0011827351440199395,-0.005483338168986025,0.00040431244558750324
oscillations,0.25,1,1,-8.5,14.44,q1,"(50, 50)",760,-0.030571172145529495,0.46016018690552923,0.000575168091128266,0.4411488147893558,28067,11933,0.70,-0.2079033389911779,0.16018026429428453,-0.13412419409119106,-0.00397318274301731,-0.0018340829190507508,0.00741738552154903
oscillations,0.25,1,1,-8.5,14.44,q2,"(50, 150)",2254,0.005696062059025519,0.4758725629348777,0.000575168091128266,0.4411488147893558,28067,11933,0.70,-0.2079033389911779,-0.00763688255520428,-0.000982694357331522,0.006014029525412245,-0.007680008490431079,0.0032062976145383684
oscillations,0.25,1,1,-8.5,14.44,q3,"(150, 50)",2283,0.013685109086866683,0.45192581253083497,0.000575168091128266,0.4411488147893558,28067,11933,0.70,0.11505765187328325,0.16018026429428453,0.023942205809083256,0.0010575665814585135,-0.0049207749492579346,0.003426880617275638
oscillations,0.25,1,1,-8.5,14.44,q4,"(150, 150)",6636,-0.002107362306257407,0.4222992307326039,0.000575168091128266,0.4411488147893558,28067,11933,0.70,0.11505765187328325,-0.00763688255520428,-0.0017561966607370883,-0.0010029290702601322,-0.0057284234161681,0.0005206966694244089
oscillations,0.25,2,1,-8.5,14.44,q1,"(50, 50)",753,-0.006045047309255697,0.4925757479378589,0.001210350229189492,0.442002292429537,28061,11939,0.70,-0.023019265525210175,0.3745019410985766,-0.17625745283734767,0.004366093280115835,-0.0058296307161430656,-0.0009348612729047754
oscillations,0.25,2,1,-8.5,14.44,q2,"(50, 150)",2210,0.0015388947274249032,0.470517090962719,0.001210350229189492,0.442002292429537,28061,11939,0.70,-0.023019265525210175,-0.02849817112423653,0.039726961769804274,0.006411747368166008,-0.0017494554998929374,-0.00020644771585988242
oscillations,0.25,2,1,-8.5,14.44,q3,"(150, 50)",2266,0.010272293768225228,0.42885519258969723,0.001210350229189492,0.442002292429537,28061,11939,0.70,0.10400889775035893,0.3745019410985766,0.02337775599851478,0.005719922625737328,-0.0052659078764680425,-7.638969867360934e-05
oscillations,0.25,2,1,-8.5,14.44,q4,"(150, 150)",6710,-0.0011439169919887518,0.4304871236207881,0.001210350229189492,0.442002292429537,28061,11939,0.70,0.10400889775035893,-0.02849817112423653,0.003922186369767615,-0.0006160200083910499,-0.005374202038318349,-0.0002910411814743792
oscillations,0.25,3,1,-8.5,14.44,q1,"(50, 50)",736,0.01567395647860947,0.5411617505459352,0.0016318824089508349,0.4592767856388095,28053,11947,0.70,0.14955283879763473,0.8256115903178168,-0.18737914281623136,-0.001363603867614852,-0.012725446396104876,0.003264415088653225
oscillations,0.25,3,1,-8.5,14.44,q2,"(50, 150)",2273,-0.001785477355202305,0.4645826624611259,0.0016318824089508349,0.4592767856388095,28053,11947,0.70,0.14955283879763473,-0.14522986917436814,-0.021521970889076723,0.005785774685588804,-0.002225689660467062,0.0027079316775623897
oscillations,0.25,3,1,-8.5,14.44,q3,"(150, 50)",2216,0.013422629759762756,0.4791674520137388,0.0016318824089508349,0.4592767856388095,28053,11947,0.70,0.08012304799902585,0.8256115903178168,0.029000414606767378,-0.0035736744446009223,-0.008629692964372293,-0.0032392443196303396
oscillations,0.25,3,1,-8.5,14.44,q4,"(150, 150)",6722,-0.0026370262344213614,0.44052788757940053,0.0016318824089508349,0.4592767856388095,28053,11947,0.70,0.08012304799902585,-0.14522986917436814,0.04419731286201672,-0.0015238089162770388,-0.00531508823187004,-0.0003028682288643644
oscillations,0.25,4,1,-8.5,14.44,q1,"(50, 50)",741,-0.00035825108644965367,0.5133222531055208,0.0010727692208856378,0.4539314916454768,28062,11938,0.70,0.07282049066835433,0.3095105030551979,-0.1886571484590599,-0.0016310598851360999,-0.00034564579981499294,0.006631451895160211
oscillations,0.25,4,1,-8.5,14.44,q2,"(50, 150)",2215,0.0017636517329466864,0.48860113695917834,0.0010727692208856378,0.4539314916454768,28062,11938,0.70,0.07282049066835433,-0.017792041292180986,0.04476195074442199,0.00490040500639324,0.0013627475647708127,0.003987887786516717
oscillations,0.25,4,1,-8.5,14.44,q3,"(150, 50)",2284,0.006891851667171231,0.46131921258532976,0.0010727692208856378,0.4539314916454768,28062,11938,0.70,0.06110462950343359,0.3095105030551979,0.05370100615098827,-0.006127365391858212,-0.005342323889796236,-0.005718213079070674
oscillations,0.25,4,1,-8.5,14.44,q4,"(150, 150)",6698,-0.0009816803198423488,0.4319380436608643,0.0010727692208856378,0.4539314916454768,28062,11938,0.70,0.06110462950343359,-0.017792041292180986,0.03876738167349891,-0.00028180090218782994,-0.005358129750368658,-5.340761505045192e-05
