pqif,iloop,cc_mean,cc_std
0.0,0,-0.0056444567862563005,0.014498980863002853
0.0,1,0.9772992400710827,0.0006817498207482764
0.0,2,0.9538622939849815,0.003757482423760233
0.0,3,0.9348254279866743,0.005647469165966471
0.0,4,0.9249603338267894,0.009370149174343222
0.0,5,0.9306064890977321,0.0076801886609039645
0.0,6,0.9258288402540273,0.016875939911651306
0.0,7,0.9249711040809888,0.012516507303006097
0.0,8,0.9139274491460803,0.02755792636464439
0.0,9,0.8868810729157092,0.042980109268755846
0.0,10,0.9032001986373241,0.024423967660006596
0.0,11,0.7784676418299844,0.1035759853525724
0.0,12,0.7738278219608183,0.14530031424685821
0.0,13,0.7607834108410028,0.1273642827059803
0.0,14,0.8220027931280409,0.061420335896452787
0.0,15,0.8218836102623814,0.07859287232869211
0.25,0,0.0004917365113433336,0.01909846338162851
0.25,1,0.9777448473083178,0.0008882252152999317
0.25,2,0.9524937019985839,0.0020379687509351862
0.25,3,0.9297297561252964,0.0073529591825599525
0.25,4,0.9340857410439016,0.008168019130250642
0.25,5,0.9233213953624327,0.011022882753847418
0.25,6,0.9132197775928432,0.012246768021056313
0.25,7,0.9145287972144647,0.008775325655949542
0.25,8,0.9120401670523236,0.006698757280600377
0.25,9,0.9060521386050862,0.014893431004537064
0.25,10,0.904701030917829,0.0070919979872614
0.25,11,0.8630770132167814,0.05694552689821253
0.25,12,0.8693670265907277,0.03453099206751765
0.25,13,0.8744103675197111,0.027940407343736588
0.25,14,0.8735073959746099,0.03747703465959611
0.25,15,0.865001523168087,0.03928723622631399
0.5,0,-0.003875947238607634,0.01263644519438305
0.5,1,0.9788954850445327,0.0007580769862939505
0.5,2,0.9446029572088959,0.004537308904611303
0.5,3,0.9227409300376687,0.006738554812868335
0.5,4,0.9093563734574495,0.008692554143344333
0.5,5,0.9024949341511895,0.007494967113068791
0.5,6,0.9012435889455295,0.0115416302081181
0.5,7,0.8966939904300905,0.006564678938447419
0.5,8,0.898027245528878,0.008765523122881721
0.5,9,0.8957057733336924,0.008977686607226964
0.5,10,0.8898706255116433,0.0066034634289944705
0.5,11,0.8593091196037623,0.01746801098840742
0.5,12,0.8547724454205916,0.02623283372843817
0.5,13,0.8596422960902105,0.03241363550035999
0.5,14,0.8590003149893455,0.019656095499931546
0.5,15,0.861021310754943,0.014283932803039216
0.75,0,-0.006838674077508262,0.014482104078520087
0.75,1,0.978395053927996,0.0009763135904219414
0.75,2,0.9367907402739183,0.005057456327799597
0.75,3,0.8811592956031056,0.015161280721665905
0.75,4,0.8702245589229574,0.00904427086022357
0.75,5,0.8666667337276769,0.005286166484613773
0.75,6,0.8651386790831372,0.009149456958290777
0.75,7,0.8673922015487099,0.005690068921859152
0.75,8,0.8675698267296974,0.006850183454365143
0.75,9,0.869565238531133,0.004129651866506446
0.75,10,0.8715024934947596,0.006482405910459677
0.75,11,0.8414114664308915,0.010604504720937578
0.75,12,0.8396344275309667,0.012184481729308912
0.75,13,0.8439271843326537,0.011625749507135241
0.75,14,0.8424644560887288,0.01547747271748448
0.75,15,0.8437079128080308,0.025938854821819613
1.0,0,-0.0026418541659701525,0.015562396002051681
1.0,1,0.9808558638643575,0.002191653172387429
1.0,2,0.9270430981729204,0.010834084213422464
1.0,3,0.8567624822683854,0.014341822670346841
1.0,4,0.8331274127299724,0.009659929986219411
1.0,5,0.8429128982289414,0.006989441124273784
1.0,6,0.849774545620852,0.004281233026686553
1.0,7,0.8566405767016996,0.004518522811208151
1.0,8,0.8601051012725482,0.004355386324487908
1.0,9,0.8648607355791207,0.004781680632575193
1.0,10,0.868324945117654,0.001455523151603743
1.0,11,0.8498886881812077,0.011456078880106505
1.0,12,0.8529367404822544,0.011578221909410855
1.0,13,0.851264467124057,0.011145430788073028
1.0,14,0.85226799590832,0.006756122183844605
1.0,15,0.8488297104475292,0.012593102358953483
