ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
0.25,0.0,0,173.6974399965586,8.802326401703273e-06,1.2726324761375086e-11,1.3314117949869686e-06,4.449017383155876e-09
0.25,0.0,1,173.314839100525,8.757528512656636e-06,1.0398048839444346e-11,1.358547150044354e-06,4.370243263698126e-09
0.25,0.0,2,173.20120586494082,8.781382695273941e-06,1.2201615365913125e-11,1.3585942585429745e-06,4.432136884840618e-09
0.25,0.0,3,174.14322689353392,8.905157547195356e-06,9.086805977374045e-12,1.3273945639923038e-06,4.471133161503926e-09
0.25,0.0,4,173.70044916025236,8.837220853345762e-06,7.843370245236255e-12,1.3419992157544375e-06,4.444062329922371e-09
0.25,0.0,5,173.28360526693496,8.793537494895706e-06,9.459387310027184e-12,1.345084662704875e-06,4.494068383222467e-09
0.25,0.0,6,173.18090127391736,8.842154357506107e-06,1.3585867237549803e-11,1.3724559725920662e-06,4.4451231927247544e-09
0.25,0.0,7,173.170212981147,8.818111948208462e-06,1.794165545371934e-11,1.3568670155295266e-06,4.491336864986336e-09
0.25,0.0,8,173.2183415352248,8.816080841719273e-06,1.0352419892291335e-11,1.3645191996787888e-06,4.443698169422725e-09
0.25,0.0,9,173.7300997191094,8.828647518655305e-06,1.63247759813989e-11,1.3402893580355784e-06,4.424543166523087e-09
0.25,0.0,10,173.84933232765965,8.841449081901774e-06,1.1277940109327864e-11,1.3259350838467227e-06,4.482814830421396e-09
0.25,0.0,11,173.42172635644798,8.83122698692185e-06,1.2132822426189422e-11,1.3688150897752924e-06,4.379636036157715e-09
0.25,0.0,12,173.39604971224992,8.785409659272633e-06,9.743062038891811e-12,1.3383473222932154e-06,4.484155530322071e-09
0.25,0.0,13,173.56400326984442,8.824003089333176e-06,9.455055577144784e-12,1.3503184954546988e-06,4.4240730741978476e-09
0.25,0.0,14,173.40942934084646,8.771080074518594e-06,7.28074924901525e-12,1.3418401964411726e-06,4.446871136987808e-09
0.25,0.0,15,173.6982210763905,8.876158834909522e-06,1.528584489383119e-11,1.337407046544943e-06,4.509617892768946e-09
0.25,0.0,16,173.40667653941662,8.861245859221952e-06,2.0254273951683395e-11,1.3327567134146342e-06,4.595339819318382e-09
0.25,0.0,17,173.4426280207194,8.830944662599787e-06,2.132662403676847e-11,1.3584969533845174e-06,4.415692622162347e-09
0.25,0.0,18,173.80519136632986,8.846288344335392e-06,1.0072685529124793e-11,1.3467649121610137e-06,4.398506447944258e-09
0.25,0.0,19,172.9970066087932,8.795856236725664e-06,4.6098998362965006e-12,1.3780694174701216e-06,4.420806899752803e-09
0.25,0.0,20,173.08752398424318,8.781671754607363e-06,1.263693051670732e-11,1.368194560620894e-06,4.417336349810315e-09
0.25,0.0,21,173.20026903518752,8.849339627232577e-06,1.7126446812664546e-11,1.3502588110402948e-06,4.5565322061776814e-09
0.25,0.0,22,173.7485569559882,8.910387010221609e-06,6.983006069703095e-12,1.3435559398567017e-06,4.51549201512552e-09
