ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
0.75,0.0,0,186.52981067810745,1.846026433168157e-05,8.90085857877435e-13,1.3411274499276952e-06,9.293019544302054e-09
0.75,0.0,1,186.81828901448196,1.8585506518945567e-05,5.13412188780349e-14,1.361509193664616e-06,9.145566393233878e-09
0.75,0.0,2,186.70090876620768,1.8454722780642998e-05,2.0763421852757733e-13,1.352751192220323e-06,9.139360700740045e-09
0.75,0.0,3,186.6090614846103,1.8580565279106837e-05,6.410859474201466e-13,1.3396023579786918e-06,9.362859795241244e-09
0.75,0.0,4,186.98476944309454,1.8519827882557325e-05,1.077631244308673e-13,1.3282689770667175e-06,9.167222900035655e-09
0.75,0.0,5,186.4233944018221,1.8465340756378115e-05,6.391691011020806e-13,1.364827241463546e-06,9.235471610157104e-09
0.75,0.0,6,186.7073036994805,1.851638937947287e-05,6.659775461367285e-13,1.3445711923614807e-06,9.229798789716741e-09
0.75,0.0,7,186.27088368138413,1.8554462677340555e-05,3.740035633817655e-13,1.3436047287672758e-06,9.501939692217045e-09
0.75,0.0,8,186.39097871638958,1.8491222598383055e-05,3.832519651997965e-14,1.3574255874878807e-06,9.313173879345788e-09
0.75,0.0,9,186.54631646981133,1.8525038477771245e-05,5.014432589366671e-13,1.3490445336309703e-06,9.301064713692977e-09
0.75,0.0,10,186.73464859421853,1.8490786075337666e-05,2.49444359957884e-13,1.3389316047370426e-06,9.22187066517449e-09
0.75,0.0,11,186.6665138015619,1.8548062945421224e-05,9.314938084746688e-14,1.347171713439784e-06,9.266502057729767e-09
0.75,0.0,12,186.57459730073973,1.8518564026990506e-05,6.036955332987836e-15,1.339488612091493e-06,9.328833657400058e-09
0.75,0.0,13,186.56371764090838,1.8466397098355882e-05,1.2163067992105495e-12,1.3687030122476236e-06,9.141418773246097e-09
0.75,0.0,14,186.60243114574843,1.8456360476790017e-05,4.431718513671037e-13,1.3403170127428189e-06,9.255439725913918e-09
0.75,0.1,0,186.20102148931252,1.852921155263e-05,1.8813215008853926e-13,1.3666221121231399e-06,9.401939363244245e-09
0.75,0.1,1,186.5762839398252,1.8518009204192907e-05,7.274357559940386e-14,1.3418240723894207e-06,9.315645348843377e-09
