ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
0.5,0.0,0,182.6194176833506,1.4354964711517268e-05,4.623727961809291e-13,1.378625303564312e-06,7.197296275498662e-09
0.5,0.0,1,182.00672382459368,1.4369709996965028e-05,2.34319697799328e-12,1.4218143483540693e-06,7.259314466421518e-09
0.5,0.0,2,182.31009656222366,1.4388175071415478e-05,3.168404389278769e-12,1.4061934751051531e-06,7.223169476515628e-09
0.5,0.0,3,182.9483853300937,1.452635803039529e-05,1.1952918817066573e-12,1.3737233143983424e-06,7.245957572901929e-09
0.5,0.0,4,182.95135710043263,1.4433790882449323e-05,2.73633360927944e-12,1.3751196031268233e-06,7.145943579107655e-09
0.5,0.0,5,182.43328319849144,1.4452680525658093e-05,3.225001749034905e-12,1.3785958477368504e-06,7.371959441461466e-09
0.5,0.0,6,182.56842155606725,1.44977252132565e-05,5.808083803572966e-12,1.3799865609438953e-06,7.347784230035262e-09
0.5,0.0,7,182.22224995931182,1.4400942131931109e-05,4.861985709519263e-12,1.4100366381315463e-06,7.25312559777561e-09
0.5,0.0,8,181.78104727309903,1.4336863593541313e-05,2.0393613843787308e-12,1.4155352520801876e-06,7.3565699422228706e-09
0.5,0.0,9,182.57842858807015,1.445930608124439e-05,4.935921759229319e-12,1.3935878222507181e-06,7.238131242280969e-09
0.5,0.0,10,182.83718525585124,1.4447817612398408e-05,2.8344492906032346e-12,1.3691780661267663e-06,7.238930449874914e-09
0.5,0.0,11,182.29956327175358,1.4462916297231002e-05,1.7439127498038233e-12,1.3850961931875868e-06,7.409411446588532e-09
0.5,0.0,12,182.51738024739967,1.4440955733489773e-05,2.1932897800022872e-12,1.3757072320996388e-06,7.339237847064497e-09
0.5,0.0,13,182.2238250293015,1.4356774024404627e-05,2.728896148789084e-12,1.4154204718909271e-06,7.183574704450263e-09
0.5,0.0,14,182.604313811631,1.4390581707064773e-05,3.2990704108482752e-12,1.383872313164579e-06,7.209653264744408e-09
0.5,0.1,0,181.80454148175613,1.438529510075098e-05,8.383562252963805e-13,1.420336197104677e-06,7.37227083104925e-09
0.5,0.1,1,182.6339763158966,1.4444600835981983e-05,2.2075227381338512e-12,1.3854748012734007e-06,7.242958376922598e-09
0.5,0.1,2,182.22906551966503,1.4430036679323694e-05,4.11555690615337e-12,1.4093418208774623e-06,7.283362660366543e-09
0.5,0.1,3,182.40067247576488,1.4413244262299153e-05,5.868277110189242e-12,1.3896341747125312e-06,7.289034142360656e-09
0.5,0.1,4,182.2713197042345,1.4440220993828647e-05,6.826437226170576e-13,1.3966018506143316e-06,7.342499876638107e-09
0.5,0.1,5,182.29124220087724,1.439225533669264e-05,1.7564891638113815e-11,1.3991362022610182e-06,7.256375867764644e-09
0.5,0.1,6,182.78101739876888,1.4454924972147015e-05,3.5695913934482226e-12,1.3897408048477311e-06,7.166282701689976e-09
0.5,0.1,7,181.51753321854218,1.437617164966105e-05,1.199593331534278e-12,1.443531316791184e-06,7.371922882107909e-09
0.5,0.1,8,182.78540434825968,1.451182454809158e-05,5.220037999839908e-12,1.3638412651450455e-06,7.348481574132372e-09
0.5,0.1,9,181.9855490840316,1.4432974662665595e-05,9.094699196419437e-12,1.4165893678309321e-06,7.351431462785329e-09
0.5,0.1,10,182.02956152541415,1.4350285974485242e-05,5.7354031813114125e-12,1.4104905146964292e-06,7.2833457990096506e-09
0.5,0.1,11,181.90355977516194,1.435691955097715e-05,4.690767562144616e-13,1.4132382849820858e-06,7.336459893061221e-09
0.5,0.1,12,182.18350562091084,1.4302497892639623e-05,1.4425719958854372e-12,1.4159115567834907e-06,7.145835020294309e-09
0.5,0.1,13,182.18258788532282,1.444217984809315e-05,1.6510937358999192e-13,1.3995825858142396e-06,7.368814680405632e-09
0.5,0.1,14,181.76092143335944,1.4332036956835505e-05,1.7505129348609914e-12,1.4166178180747004e-06,7.355333052385779e-09
0.5,0.12097275924594193,0,182.51174873404847,1.4393760089070707e-05,1.2286884448372576e-12,1.3856781337410296e-06,7.246009444381101e-09
0.5,0.12097275924594193,1,182.31089581595964,1.439327309316237e-05,2.4208153454685438e-12,1.3871352903345682e-06,7.324362593765974e-09
0.5,0.12097275924594193,2,182.37963824867714,1.4465504840858434e-05,2.382254692048872e-12,1.3840419928074586e-06,7.381598762998073e-09
0.5,0.12097275924594193,3,182.37843728138336,1.4392587298568847e-05,4.636934177662296e-15,1.387895194555967e-06,7.2929417899358846e-09
0.5,0.12097275924594193,4,182.3010146957062,1.4494188520795065e-05,6.989590296439352e-12,1.3715310774672343e-06,7.502672800878827e-09
0.5,0.12097275924594193,5,182.6870975523431,1.4408116135398343e-05,8.813899744469912e-13,1.385556657960098e-06,7.184952416999599e-09
0.5,0.12097275924594193,6,182.01942650070407,1.4309363728473501e-05,5.7829823834247895e-12,1.4068987490101835e-06,7.264750734911422e-09
0.5,0.12097275924594193,7,182.468847133705,1.4340834957883564e-05,2.0484885558327185e-12,1.3876226570107736e-06,7.20174822102488e-09
0.5,0.12097275924594193,8,182.4928410094965,1.4435805755642648e-05,5.5992009121046965e-12,1.3808245787301051e-06,7.315704579796765e-09
0.5,0.12097275924594193,9,182.48020468909868,1.443447425018119e-05,4.2940735476941885e-12,1.3831812670948688e-06,7.309377929356641e-09
0.5,0.12097275924594193,10,181.86660659290533,1.4442521183318874e-05,3.796084927499118e-12,1.4280610611394596e-06,7.36092215772983e-09
0.5,0.12097275924594193,11,182.02695605579135,1.4387307093736416e-05,2.2557975483451334e-12,1.3893169598664268e-06,7.431427077766491e-09
0.5,0.12097275924594193,12,182.21052111653415,1.4380443835389481e-05,5.79628798008903e-12,1.3801249384357796e-06,7.387113175553606e-09
0.5,0.12097275924594193,13,181.79923267273904,1.4327608386371616e-05,9.469076041824527e-13,1.4035308674110071e-06,7.400705952167288e-09
0.5,0.12097275924594193,14,182.085580653481,1.448806609316303e-05,1.8190706445510497e-12,1.398186101664573e-06,7.462486268521172e-09
0.5,0.1463440847957663,0,182.50089024108598,1.4393348170138642e-05,2.4679743657348717e-12,1.381044442219813e-06,7.272336121889988e-09
0.5,0.1463440847957663,1,182.72601371376967,1.4426977248267493e-05,4.755313726297417e-12,1.3559116728684663e-06,7.331527099940489e-09
0.5,0.1463440847957663,2,182.26894807436585,1.4405874470318035e-05,2.8293318445964235e-12,1.382216383650948e-06,7.379454699711935e-09
0.5,0.1463440847957663,3,181.7124777349895,1.4273738619700054e-05,3.2315682612014245e-12,1.3932546392687406e-06,7.433359286901683e-09
0.5,0.1463440847957663,4,182.21909509377753,1.441649558159277e-05,8.574402528453417e-13,1.3805895144526623e-06,7.421948288910985e-09
0.5,0.1463440847957663,5,181.97280343013233,1.4399827801546922e-05,2.5918895731947336e-12,1.4026815295856987e-06,7.400175293633472e-09
0.5,0.1463440847957663,6,182.7422298163653,1.4458355819528555e-05,1.0437824987467e-12,1.3641251154068604e-06,7.317741786047454e-09
0.5,0.1463440847957663,7,182.32983563136418,1.4427656060556722e-05,1.3870427897985181e-12,1.3729486641174737e-06,7.4225447334878026e-09
0.5,0.1463440847957663,8,182.17716744700937,1.440711848037886e-05,7.40500722090066e-12,1.382332645693096e-06,7.415530070557529e-09
0.5,0.1463440847957663,9,182.38009970683316,1.4407464544731368e-05,4.1045190835583194e-12,1.3673868930641295e-06,7.405788678427673e-09
0.5,0.1463440847957663,10,182.3601216974559,1.4411911435916548e-05,1.6373833799675911e-12,1.3848746035450402e-06,7.333564530562907e-09
0.5,0.1463440847957663,11,182.47506214796212,1.4552917185779256e-05,7.953111158763436e-12,1.3842509449725412e-06,7.419592658029507e-09
0.5,0.1463440847957663,12,183.05858500831906,1.4521747511210815e-05,4.924266082639819e-12,1.3474207963513318e-06,7.321751193802889e-09
0.5,0.1463440847957663,13,182.16215249834138,1.4397115758662245e-05,5.539697960529522e-13,1.4000261669959835e-06,7.330171158646399e-09
0.5,0.1463440847957663,14,182.4027089908946,1.4460851336875483e-05,3.754619968294227e-12,1.3935534157445032e-06,7.317742307302865e-09
0.5,0.17703647737065947,0,181.51051175120688,1.4303531185072356e-05,3.882737438683907e-12,1.4006283103656596e-06,7.513863671798906e-09
