ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
0.5,0.0,0,176.43103411735112,1.3179348428126061e-05,6.320422125971616e-13,1.772455138266146e-06,6.6078490453261146e-09
0.5,0.0,1,175.91770370230515,1.3201642627630681e-05,4.4575993741761816e-13,1.8203006746094729e-06,6.6135192162421664e-09
0.5,0.0,2,175.93291488181825,1.317409522951039e-05,1.289309625823093e-12,1.8203861860861187e-06,6.572839131947209e-09
0.5,0.0,3,176.70650661936773,1.3328604489601885e-05,1.2857977796503916e-12,1.7750584398176933e-06,6.651346237068771e-09
0.5,0.0,4,176.46509147910524,1.3236108340236745e-05,1.5879657089076266e-12,1.7779548925077592e-06,6.631494282803776e-09
0.5,0.0,5,175.9926919191645,1.3219185670820137e-05,2.5782033230274375e-12,1.7948249273985869e-06,6.728048342336831e-09
0.5,0.0,6,176.1801002742103,1.3268384902473088e-05,4.197800473249384e-12,1.7934703423417683e-06,6.711176196514543e-09
0.5,0.0,7,175.98853184981203,1.323391417384633e-05,1.7756140627359604e-12,1.8059093978230113e-06,6.692519265831947e-09
0.5,0.0,8,175.8655056461834,1.317879209700359e-05,1.5274893847282775e-12,1.8090714565632906e-06,6.663900691203942e-09
0.5,0.0,9,176.2745797303581,1.3255303102407208e-05,4.113448070021782e-12,1.7988417097738474e-06,6.628232756752549e-09
0.5,0.0,10,176.2918510926815,1.3231347250729715e-05,1.0199993571353082e-12,1.7782818218643533e-06,6.698920804749744e-09
0.5,0.0,11,176.0902882074803,1.32475108954642e-05,8.26089076960076e-13,1.7937874586816499e-06,6.7268265347942785e-09
0.5,0.0,12,176.17309069195585,1.321684713594278e-05,1.8949649870387813e-12,1.7879229777538749e-06,6.6832959191181484e-09
0.5,0.0,13,176.189214067692,1.3200781917966246e-05,1.4187690957681506e-12,1.8075790459872734e-06,6.559118788460748e-09
0.5,0.0,14,176.1781882391243,1.3180534310402577e-05,2.345666749947639e-12,1.7937363703747482e-06,6.608424563121728e-09
0.5,0.0,15,176.17566495274986,1.3289674925215392e-05,7.48188341832607e-13,1.7922700894858858e-06,6.7478391747420486e-09
0.5,0.0,16,176.0328453995662,1.3284261806755302e-05,5.577320871441785e-12,1.790351146656832e-06,6.807688070627028e-09
0.5,0.0,17,176.20846235956023,1.3231232636169139e-05,5.157638939426213e-12,1.804318661954807e-06,6.599539820502753e-09
0.5,0.0,18,176.58489819615562,1.3261163565905822e-05,2.441075286565488e-12,1.7889321016641592e-06,6.55368781851283e-09
0.5,0.0,19,175.8491944876409,1.32636917801294e-05,6.608442292021656e-13,1.838602435986821e-06,6.624970407727667e-09
0.5,0.0,20,176.08550692485366,1.322351871978953e-05,5.668619848467656e-12,1.8122201451654305e-06,6.602895396208094e-09
0.5,0.0,21,176.11535158831316,1.3271246250207714e-05,9.630832921745154e-13,1.7930493448292494e-06,6.747805214979382e-09
0.5,0.0,22,176.52646713610451,1.3269433529168075e-05,1.2100653290254305e-12,1.78599285560184e-06,6.604401938873686e-09
0.5,0.0,23,176.2419005882551,1.3294000953160887e-05,3.6503754295795354e-12,1.7958944450397215e-06,6.703303847232158e-09
0.5,0.0,24,176.22624134648873,1.3238012268990458e-05,2.5698437801854543e-12,1.8129676788628664e-06,6.559120456877939e-09
0.5,0.0,25,176.15108734698208,1.3174287859290344e-05,1.3754988867424113e-12,1.8115926967849928e-06,6.5238892984341385e-09
0.5,0.0,26,176.004764485414,1.3237725009003795e-05,3.3956655573672927e-12,1.7882826616850963e-06,6.776974906779511e-09
0.5,0.0,27,176.44801863298724,1.3232815901052381e-05,2.2697816733418597e-12,1.7943045120521389e-06,6.5521100169972894e-09
0.5,0.0,28,176.32000483209123,1.3255766656222738e-05,1.3313035238025212e-12,1.7878461921502373e-06,6.667342657210076e-09
0.5,0.0,29,176.80810284657593,1.3269588455348974e-05,1.9950993039215583e-14,1.7722808680316312e-06,6.55427991528306e-09
0.5,0.0,30,176.34269094710925,1.3194876173032266e-05,2.861827001120749e-12,1.7731292635335532e-06,6.658147074034267e-09
0.5,0.0,31,175.78697313068756,1.3173444650884418e-05,7.959308469405993e-13,1.8264086340354811e-06,6.604825553964304e-09
0.5,0.0,32,176.88043499911487,1.3249432626444293e-05,5.781371783227345e-12,1.7490718054939513e-06,6.610710546841449e-09
0.5,0.0,33,176.30798007541074,1.314735338780908e-05,5.683556667754095e-12,1.7872820394034983e-06,6.542907982888255e-09
0.5,0.0,34,176.12090359350282,1.3253993616871122e-05,1.4011477485350513e-12,1.8101395458729422e-06,6.638655906798902e-09
0.5,0.0,35,176.97694440608464,1.3263124544826177e-05,2.1557941454331496e-12,1.7544362460963613e-06,6.562230033225971e-09
0.5,0.0,36,176.060624174261,1.3298573887400011e-05,5.015742735963147e-12,1.8046137281207692e-06,6.741662508168841e-09
0.5,0.0,37,176.12506940921293,1.3122168300026278e-05,1.7119906754055492e-12,1.776855653967682e-06,6.64727110185109e-09
0.5,0.0,38,176.23507939961277,1.3219027143091933e-05,5.057303291307132e-13,1.7929779462838287e-06,6.635367193033743e-09
0.5,0.0,39,175.94433670879312,1.3226418799736381e-05,3.2126626747750243e-12,1.8141422197220912e-06,6.659767643993581e-09
0.5,0.0,40,176.19649321339358,1.3223988699212702e-05,5.1363788861973385e-12,1.7926720175241375e-06,6.654606215359406e-09
0.5,0.0,41,175.5506788813809,1.3226006106093877e-05,9.65041822255228e-14,1.8188600637373108e-06,6.808249430661051e-09
0.5,0.0,42,175.95602844287166,1.3172670777074929e-05,1.1946881830249763e-13,1.8038384298474772e-06,6.645562162132579e-09
0.5,0.0,43,176.32524372127722,1.3256533604060138e-05,1.9989519623570605e-12,1.7999849960922806e-06,6.604355890928845e-09
0.5,0.0,44,176.41550774735282,1.322525349631762e-05,6.673538251735673e-13,1.7786237108566424e-06,6.6374901702740455e-09
