ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
0.75,0.0,0,184.742037374596,1.8113625768492092e-05,5.362362377588697e-13,1.5086878669451548e-06,9.09571564721729e-09
0.75,0.0,1,184.85240501346345,1.821521310087463e-05,1.3880554882531806e-14,1.5415645535999721e-06,8.965456849817754e-09
0.75,0.0,2,184.69502647676245,1.8088642921739542e-05,7.31280774575009e-15,1.5306723028029761e-06,8.987916393481503e-09
0.75,0.0,3,184.4429397367387,1.8183781759436752e-05,6.080928849998952e-13,1.5308890556628474e-06,9.209208545910974e-09
0.75,0.0,4,185.086971471313,1.8147329928363232e-05,2.528365279270474e-13,1.5070819069377486e-06,8.951023306625786e-09
0.75,0.0,5,184.7190165742434,1.8145848668070244e-05,9.057100811486936e-13,1.519476632806979e-06,9.083119194030007e-09
0.75,0.0,6,184.64320934174026,1.8129123866968256e-05,1.0467713232984026e-12,1.5320384841011814e-06,9.04499198428777e-09
0.75,0.0,7,184.19479263725816,1.8174497971654085e-05,5.893174157273734e-13,1.5274929292590562e-06,9.351139888870613e-09
0.75,0.0,8,184.32736141040525,1.812013884580753e-05,3.89285826806655e-16,1.5376390854931476e-06,9.178741695508582e-09
0.75,0.0,9,184.6210110783293,1.8166014730128953e-05,9.806738832281062e-13,1.522792221161875e-06,9.137460386335895e-09
0.75,0.0,10,184.52694574920932,1.808499578490968e-05,3.1696404762250057e-13,1.5357690537563835e-06,9.048308701254157e-09
0.75,0.0,11,184.3524057169787,1.8142298659650637e-05,2.1081020893129581e-13,1.5438371552748924e-06,9.154606970665397e-09
0.75,0.0,12,184.54289371014193,1.8135971620649868e-05,1.3397506128180512e-13,1.5246517228252765e-06,9.143044781188109e-09
0.75,0.0,13,184.96003984590368,1.8152118368747897e-05,1.0106279234889772e-12,1.5214584389831683e-06,8.950071382268279e-09
0.75,0.0,14,184.58791400816958,1.806929427247249e-05,7.229860832858102e-13,1.5269042666462247e-06,9.045339525059468e-09
0.75,0.0,15,184.64397008041774,1.8219953345639424e-05,1.754147617939439e-13,1.5264409633929752e-06,9.157469219664093e-09
0.75,0.0,16,184.4894403428915,1.815320363670059e-05,1.6734457734338757e-13,1.5244427813874515e-06,9.188680822161159e-09
0.75,0.0,17,184.73030335692346,1.8156085237692474e-05,1.9757916640380924e-15,1.5190913001936383e-06,9.08938891199967e-09
0.75,0.0,18,184.70698137486042,1.8166128229693626e-05,2.0605424342473016e-14,1.5341422177885587e-06,9.035504927950554e-09
0.75,0.0,19,184.3621699551318,1.8188389626190923e-05,4.1565832629795433e-13,1.5578425971988918e-06,9.121753747448976e-09
0.75,0.0,20,184.6300850739844,1.8217804842246826e-05,1.9422641280304284e-13,1.5076739931293032e-06,9.257185297478953e-09
0.75,0.0,21,184.30641436906535,1.81503815259937e-05,1.623017743603798e-13,1.5457715328999079e-06,9.177179525649153e-09
0.75,0.0,22,184.89265507585836,1.8234687431458212e-05,1.9062024192239403e-16,1.5203337041564078e-06,9.068378912510932e-09
0.75,0.0,23,184.54230138513262,1.8185948981582426e-05,1.6085101065823935e-13,1.5143304122327118e-06,9.241472402675843e-09
0.75,0.0,24,184.73289007043908,1.816701323572401e-05,1.4161705899497016e-12,1.5372225364430549e-06,9.00553743018637e-09
0.75,0.0,25,184.52061702643505,1.8128288983460713e-05,4.3217535168973615e-13,1.5333886044732244e-06,9.103660055404075e-09
0.75,0.0,26,184.19189667879712,1.813713625378205e-05,1.7722571446391388e-15,1.5326354777609841e-06,9.292490542060692e-09
0.75,0.0,27,184.75262025884058,1.808994003308357e-05,2.431572991268294e-12,1.5233867507728129e-06,8.992514016497964e-09
0.75,0.0,28,184.92690913921828,1.821138539491773e-05,1.1649005264475008e-12,1.5216279725053568e-06,9.020975325473524e-09
0.75,0.0,29,184.97547472423673,1.8170797107711777e-05,6.613780741242523e-13,1.5323218235022077e-06,8.904698113894349e-09
0.75,0.0,30,184.58699450747903,1.8067040337463843e-05,2.1328785947221134e-13,1.5179826684817584e-06,9.089080933097482e-09
0.75,0.0,31,184.77108146082023,1.8156682492865154e-05,5.038195553687148e-14,1.5335484810125907e-06,8.995458941283037e-09
0.75,0.0,32,184.99743438244428,1.8144317764214746e-05,3.8064966881821883e-13,1.4807207699923532e-06,9.128257814970747e-09
0.75,0.0,33,184.64503193960957,1.806379831514399e-05,6.326284787202167e-14,1.5202537257236764e-06,9.043904951401247e-09
0.75,0.0,34,184.69549094778358,1.8174781932588857e-05,7.650845005509614e-14,1.5454534451344132e-06,8.99276186774558e-09
0.75,0.0,35,184.88039416389174,1.8115091870825212e-05,1.1277497558578534e-12,1.4991205488807228e-06,9.070725441611828e-09
0.75,0.0,36,184.40630805030503,1.8227135243557896e-05,9.840569175635592e-13,1.5474752634450575e-06,9.185546675843803e-09
0.75,0.0,37,184.38900793215925,1.800164804368885e-05,3.112076297370996e-17,1.5368971477733855e-06,9.039114780097364e-09
0.75,0.0,38,184.48746910777086,1.8194763270048164e-05,7.836646751424109e-13,1.5055677351525532e-06,9.32247067820268e-09
0.75,0.0,39,184.48601312843735,1.8188024716053232e-05,1.4626290626435278e-12,1.5419852741426886e-06,9.133395778468487e-09
0.75,0.0,40,184.6796741738082,1.816798245304327e-05,6.01119011682458e-14,1.5177482976664483e-06,9.134133987039343e-09
0.75,0.0,41,184.36749023036737,1.816528993621237e-05,1.3111346426261161e-12,1.515286681905821e-06,9.310195472866194e-09
