ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
0.75,0.0,0,189.832064815287,1.9165917203982006e-05,1.7811024080976948e-12,1.0357000024157594e-06,9.641623026397918e-09
0.75,0.0,1,189.8108280077218,1.923255989236851e-05,3.702289895607339e-13,1.07810160634753e-06,9.493118519196368e-09
0.75,0.0,2,190.01416855909974,1.916722657493486e-05,1.5023788634353108e-14,1.0422908602370854e-06,9.514054327641465e-09
0.75,0.0,3,189.7280013474359,1.926483205511126e-05,1.1088127183895507e-12,1.0433762044742448e-06,9.736340171579281e-09
0.75,0.0,4,190.26240235844438,1.9185817576887992e-05,1.6795419436935467e-14,1.0407576507248126e-06,9.403595715818557e-09
0.75,0.0,5,189.80195114725726,1.9187248313749365e-05,6.271258157298728e-13,1.0489941955011325e-06,9.608677900988306e-09
0.75,0.0,6,189.84314551482416,1.9219953915656335e-05,7.740834439723066e-13,1.0400118431407185e-06,9.656907266718928e-09
0.75,0.0,7,189.4844664826402,1.9238224949798302e-05,1.1042515557706062e-12,1.046916968670263e-06,9.828917433694182e-09
0.75,0.0,8,189.3671815126396,1.9156061043775372e-05,8.23885923325469e-15,1.0663786946912116e-06,9.730827703830989e-09
0.75,0.0,9,189.91388549458037,1.9253082638163714e-05,6.736470545977922e-13,1.0350627790091363e-06,9.669533342743913e-09
0.75,0.0,10,190.15635222021888,1.9242332635110065e-05,3.309964231559063e-13,1.0144258567680109e-06,9.6353282285957e-09
0.75,0.0,11,189.78892143924406,1.921877692099433e-05,5.706425239328516e-14,1.0563778160443457e-06,9.603625436415572e-09
0.75,0.0,12,189.97947724403636,1.925495083631418e-05,6.93505231726811e-14,1.0219075102660448e-06,9.70248070755508e-09
0.75,0.0,13,189.70023676388547,1.9144110215403954e-05,5.649222920514188e-13,1.072056635082075e-06,9.513839257728404e-09
0.75,0.0,14,189.85827129083484,1.9154141489384187e-05,3.723588760628472e-13,1.0374935289852758e-06,9.610931083284047e-09
0.75,0.0,15,189.5017706545645,1.923946221532235e-05,7.871857937426731e-14,1.064839098209543e-06,9.731609643256754e-09
0.75,0.0,16,189.92728673805013,1.925894191030151e-05,1.3324339788904792e-13,1.0277489507041258e-06,9.704158680318762e-09
0.75,0.0,17,189.81296287413386,1.920697553261598e-05,1.2165524664280526e-13,1.044899066527326e-06,9.639164948317695e-09
0.75,0.0,18,189.96199562634732,1.9232867209076927e-05,2.6428606530167624e-14,1.0515562383014058e-06,9.545968075126517e-09
