ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
0.25,0.0,0,190.12879856942794,1.2791379392635386e-05,2.682415322333294e-11,6.517776573086941e-07,6.5014375910258765e-09
0.25,0.0,1,190.52351663562968,1.2830368132999203e-05,2.6109754467776644e-11,6.533345163265228e-07,6.383633291850599e-09
0.25,0.0,2,190.04094985803837,1.2856177042739786e-05,3.298791842885326e-11,6.553172743763508e-07,6.558553740092601e-09
0.25,0.0,3,190.21637201849038,1.3004122490765721e-05,2.422814941638272e-11,6.347035831729508e-07,6.7211629677481875e-09
0.25,0.0,4,190.4657850069756,1.296390239617017e-05,1.729034565680692e-11,6.385835098548503e-07,6.5881860017827915e-09
0.25,0.0,5,190.14229033459083,1.2894687295816833e-05,1.619054653388146e-11,6.431428256140153e-07,6.629817874271036e-09
0.25,0.0,6,189.95335287748426,1.2962155388882172e-05,3.1127504997772403e-11,6.599224970097242e-07,6.650389059067617e-09
0.25,0.0,7,189.89654688410045,1.2839259583845217e-05,3.0983169444850935e-11,6.64402541935293e-07,6.553588831888467e-09
0.25,0.0,8,190.28932074446223,1.2915733121910182e-05,2.182954561802669e-11,6.589574982850685e-07,6.508064360820396e-09
0.25,0.0,9,190.16151313571044,1.2878665212222758e-05,3.025024163807318e-11,6.485301868285989e-07,6.569476735353908e-09
0.25,0.0,10,190.38897014670997,1.289733652307389e-05,2.9692847492833154e-11,6.3673881489511e-07,6.5620750132331786e-09
0.25,0.0,11,190.18376755692012,1.294556210021058e-05,2.6916969118623294e-11,6.597177081611241e-07,6.559826119419146e-09
0.25,0.0,12,190.35997179803198,1.2843781185873496e-05,2.2756169729868816e-11,6.440147404635177e-07,6.502179922483838e-09
0.25,0.0,13,189.95241292460807,1.2852825736747474e-05,2.5760534207815656e-11,6.589104622356301e-07,6.576886089185992e-09
0.25,0.0,14,190.6128479396081,1.286705242368445e-05,2.7961802376160018e-11,6.394124321188486e-07,6.4475816669152015e-09
0.25,0.0,15,189.9973024573133,1.2944313760114666e-05,4.380484665474964e-11,6.450963107875791e-07,6.682518577924492e-09
0.25,0.0,16,189.7962571512603,1.2857038409074645e-05,3.296142151818954e-11,6.485702566680896e-07,6.680833943291315e-09
0.25,0.0,17,190.25078938797756,1.2915673702445585e-05,3.911088745641067e-11,6.53828783422706e-07,6.530245839851277e-09
0.25,0.0,18,190.39090747884552,1.2907511660640365e-05,2.4853235044372547e-11,6.504655137103007e-07,6.5050224088900276e-09
0.25,0.0,19,190.64031251590103,1.2959799539786731e-05,1.1712751236222458e-11,6.575327431597405e-07,6.432879890122032e-09
0.25,0.0,20,190.25391842492922,1.2924088890160934e-05,1.8932419287641812e-11,6.553640507751375e-07,6.5480979358543785e-09
0.25,0.0,21,189.76518712257337,1.2892070256863428e-05,3.74796559423802e-11,6.558790273344517e-07,6.677940882311948e-09
0.25,0.0,22,190.11736469361875,1.2988709729551345e-05,1.6329980823225515e-11,6.496486798678954e-07,6.678020817273808e-09
0.25,0.0,23,190.20309024618663,1.2857464626636884e-05,3.620068834944676e-11,6.568918450220208e-07,6.490416679886831e-09
0.25,0.0,24,190.02927876202583,1.2917758995532284e-05,2.460824205854288e-11,6.59552773980836e-07,6.597234918234682e-09
0.25,0.0,25,190.28983257952848,1.2820642946297798e-05,1.5717683204164805e-11,6.551194730856295e-07,6.460858974985877e-09
0.25,0.0,26,190.10354216243135,1.2842907817876199e-05,1.8523767025936598e-11,6.53309510278691e-07,6.550593406082069e-09
0.25,0.0,27,190.2548391678798,1.2876283694742286e-05,2.521534765441007e-11,6.555252887190471e-07,6.5041789092064506e-09
0.25,0.0,28,190.26185121668166,1.2889320532739983e-05,1.5223813188490946e-11,6.588272579844505e-07,6.50506972719997e-09
0.25,0.0,29,190.51179523756431,1.2944450418543742e-05,1.5933568097109574e-11,6.40287155103784e-07,6.549765302174038e-09
0.25,0.0,30,190.25250250707154,1.2830374056951555e-05,2.4524197015318983e-11,6.423693107187471e-07,6.5367635612272935e-09
0.25,0.0,31,190.12623456029607,1.2795755768822618e-05,3.764391797365789e-11,6.551667787311525e-07,6.477817108783612e-09
