ipqif,gsyn,seed,dpr,am2,cm2,astd2,cstd2
0.25,0.0,0,181.44572488479218,1.0228846540452127e-05,1.6239990032531276e-11,1.045745738249989e-06,5.158463309509595e-09
0.25,0.0,1,181.29180443660226,1.0225920517119828e-05,1.5813632781460338e-11,1.0586427975480568e-06,5.13924577821472e-09
0.25,0.0,2,181.3113550046955,1.0280771731245665e-05,1.7908162172790154e-11,1.0522315418853995e-06,5.2193661629644526e-09
0.25,0.0,3,182.19346830217026,1.0418312445844932e-05,1.1056900147629724e-11,1.0256000694077925e-06,5.22104324975962e-09
0.25,0.0,4,181.88915116293185,1.0340192441467e-05,1.0737139673978135e-11,1.037850660078464e-06,5.177456376782448e-09
0.25,0.0,5,181.3027992034042,1.0294648035006938e-05,1.62633548491179e-11,1.0402796496237142e-06,5.297944913842242e-09
0.25,0.0,6,181.3625302271694,1.0369939030801398e-05,1.8059923893870415e-11,1.06140724958382e-06,5.2481622371827575e-09
0.25,0.0,7,181.00456013505604,1.0255924096025142e-05,2.3331195244501296e-11,1.0641111622168292e-06,5.225226041986114e-09
0.25,0.0,8,180.90283175510783,1.0251691902984675e-05,1.1277564050868955e-11,1.071981720177764e-06,5.225461973728346e-09
0.25,0.0,9,181.64820834154136,1.0313481403043349e-05,2.246223560975118e-11,1.041315547678158e-06,5.197028576852262e-09
0.25,0.0,10,182.15480415787545,1.034783817774893e-05,2.043866083377973e-11,1.0241984915884732e-06,5.160537871601568e-09
0.25,0.0,11,181.32728417116886,1.0337778347389107e-05,1.618568096009553e-11,1.0628291633324562e-06,5.221178895578129e-09
0.25,0.0,12,181.69750202889074,1.0303900760180969e-05,1.2858863601411472e-11,1.0311070874616882e-06,5.232769971638829e-09
0.25,0.0,13,181.16546940632054,1.027464086088473e-05,1.6557218330919406e-11,1.0564589010765598e-06,5.239101438059848e-09
0.25,0.0,14,181.7674755532086,1.0264470533577517e-05,1.7785708974820485e-11,1.038161475150499e-06,5.130627593134702e-09
0.25,0.0,15,181.03655907156343,1.0310810587943135e-05,2.835054228153646e-11,1.046342453975893e-06,5.355998311942913e-09
0.25,0.0,16,181.3341217430883,1.0302671073964716e-05,2.1122134328609652e-11,1.0424012202736577e-06,5.2807512239271045e-09
0.25,0.0,17,181.1073479929718,1.029028666281887e-05,2.613114861392785e-11,1.0608598802437873e-06,5.241792863702176e-09
0.25,0.0,18,181.96457871216666,1.0317938129590761e-05,1.3423429155269074e-11,1.048958491881526e-06,5.072935877596105e-09
0.25,0.0,19,181.16169076213285,1.0300050408798998e-05,6.835851288230412e-12,1.0706335046184337e-06,5.204998053912977e-09
0.25,0.0,20,181.412776424918,1.0327665236067808e-05,1.3528482329779893e-11,1.053226757509577e-06,5.234743751164924e-09
0.25,0.0,21,181.32907307639792,1.0290559157278784e-05,2.4777852202944923e-11,1.0558462518730725e-06,5.198751581936523e-09
0.25,0.0,22,181.45409978749552,1.0372690759305608e-05,1.6755020304210705e-11,1.048148457333629e-06,5.289857459502152e-09
0.25,0.0,23,181.0642811971111,1.025322867056991e-05,2.643017113813634e-11,1.0623968127804319e-06,5.209153465803607e-09
0.25,0.0,24,181.41692154536304,1.0341418294245609e-05,1.3151825837302678e-11,1.0559722534766165e-06,5.234056772615019e-09
0.25,0.0,25,181.32903585569863,1.0258338755922541e-05,1.0322258513238802e-11,1.0527057417192085e-06,5.196103116201387e-09
0.25,0.0,26,181.21190273717767,1.023321582298388e-05,1.2616168901547895e-11,1.0559825991459836e-06,5.188318286643679e-09
0.25,0.0,27,181.3510767999959,1.0253567374138115e-05,1.4082757599422977e-11,1.0605708085148334e-06,5.1410272832753576e-09
0.25,0.0,28,181.54666974040035,1.0323008754421749e-05,7.493751987929014e-12,1.0533993183295797e-06,5.192997521198623e-09
0.25,0.0,29,181.94697174070308,1.0357467033280872e-05,7.546103932561182e-12,1.033345175501643e-06,5.2024768294573995e-09
0.25,0.0,30,181.5469828141171,1.0258010442021958e-05,1.559930639912426e-11,1.0376475983162828e-06,5.19780356375135e-09
0.25,0.0,31,181.58025237634607,1.0276262123761883e-05,2.0869378386201572e-11,1.0437955297716106e-06,5.169750703012178e-09
0.25,0.0,32,181.59008560733915,1.0313154010590005e-05,1.3615547067134864e-11,1.0369719553282037e-06,5.245674792009625e-09
0.25,0.0,33,181.77759719742158,1.0308666219485502e-05,2.0618119739961053e-11,1.0398087515896741e-06,5.160951992725198e-09
0.25,0.0,34,181.2050986380912,1.022733537915214e-05,8.861539455639494e-12,1.0605931387022267e-06,5.165032531941538e-09
0.25,0.0,35,181.86194322139914,1.0302344884985922e-05,1.3361192250701693e-11,1.0449354539101745e-06,5.109684359492768e-09
0.25,0.0,36,180.92224194862098,1.0347400709713735e-05,3.909993966707539e-11,1.0523210034236039e-06,5.389252565006787e-09
0.25,0.0,37,181.99512131703364,1.0236764435084838e-05,1.1825672054284945e-11,1.018134578448633e-06,5.138400372716682e-09
0.25,0.0,38,181.56710255799646,1.029880459498558e-05,6.583269894790014e-12,1.055014673156255e-06,5.154783087607372e-09
0.25,0.0,39,180.88807399385465,1.0311965524035672e-05,1.8806821497662945e-11,1.0685712476338024e-06,5.302144140704079e-09
0.25,0.0,40,181.18307268230586,1.0296469523593073e-05,1.9614702774647245e-11,1.0469613614167616e-06,5.300618218704684e-09
0.25,0.0,41,181.14813071773563,1.0253349074904187e-05,1.2378789738051847e-11,1.0591463037321426e-06,5.213363871632922e-09
0.25,0.0,42,181.55077572963853,1.028393037310159e-05,9.16513294795081e-12,1.0509600304481815e-06,5.1625629837946295e-09
0.25,0.0,43,181.326460403357,1.0297344146286465e-05,1.554591874583772e-11,1.060805858816406e-06,5.190879110347544e-09
0.25,0.0,44,181.42185578386793,1.0284713536902326e-05,7.516480186207192e-12,1.0481294903875182e-06,5.219712634726922e-09
0.25,0.0,45,181.62839750304133,1.028096008957468e-05,1.689820489921233e-11,1.0390241517672327e-06,5.187383568334748e-09
0.25,0.0,46,180.82897350921832,1.023682612505861e-05,1.8735052928914937e-11,1.0804227706595315e-06,5.183409428989287e-09
0.25,0.0,47,181.42078309865872,1.0331920706883499e-05,1.7099327219810485e-11,1.0469308762158217e-06,5.264591240733684e-09
0.25,0.0,48,181.6270330444382,1.0295585260058592e-05,1.966123195222583e-11,1.0347925155312918e-06,5.221116603875907e-09
0.25,0.0,49,181.49683347332171,1.018741449226003e-05,8.010677527368075e-12,1.062068827070364e-06,5.026621816360639e-09
0.25,0.1,0,180.93554092037598,1.026480035453861e-05,9.069489880252335e-12,1.0664348940269327e-06,5.258808930845421e-09
0.25,0.1,1,181.47049060992782,1.0363071505744426e-05,1.1680306994027762e-11,1.0389658181231042e-06,5.326089305872908e-09
