experiment_id,pair_id,pre_cell_id,post_cell_id,psp_amplitude
2641,84440,15173,15172,-0.0009192518102135228
2641,84443,15174,15172,-0.00039195852639154925
2646,84506,15190,15201,-0.0004291318591062908
2645,84514,15191,15189,
2646,84536,15201,15200,-1.0155839688233523e-05
2651,84708,15227,15232,3.327583894235609e-05
2652,84754,15235,15234,
2655,84870,15255,15254,
2655,84895,15258,15259,
2656,84933,15264,15262,
2656,84947,15266,15262,
2656,84949,15266,15264,-0.0005780587119892401
2661,85050,15289,15288,
2662,85128,15301,15296,0.0001880309519387525
2669,85260,15327,15326,-0.0004889590643032294
2669,85261,15327,15328,
2672,85340,15345,15342,
2674,85396,15355,15357,
2676,85411,15361,15359,
2678,85447,15370,15371,
2678,85490,15376,15371,
2683,85582,15394,15396,
2683,85583,15394,15397,
2683,85586,15395,15394,
2683,85589,15396,15392,0.0005278486694999584
2683,85591,15396,15394,
2684,85611,15399,15404,
2684,85649,15405,15399,
2686,85661,15410,15408,
2690,85692,15418,15421,-0.0003808210773750618
2690,85698,15419,15421,-0.0001344393492449089
2690,85708,15421,15418,-0.0005671057222454061
2693,85790,15438,15434,
2693,85796,15438,15437,
2693,85798,15438,15439,
2693,85810,15440,15434,
2694,85847,15445,15446,0.0004524988320384839
2694,85854,15446,15445,
2694,85862,15447,15446,
2694,85863,15447,15448,
2694,85870,15448,15447,
2695,85871,15449,15450,2.251551753660978e-06
2695,85873,15449,15452,0.0005456904031930534
2696,85923,15458,15459,
2696,85927,15459,15458,
2696,85931,15460,15458,
2698,85993,15469,15474,
2698,85997,15470,15472,0.00029682271005177744
2698,86002,15471,15470,
2698,86003,15471,15472,
2698,86004,15471,15473,-0.00024891287194077545
2698,86005,15471,15474,
2698,86006,15471,15475,
2698,86010,15472,15473,-0.0008263192696935039
2698,86011,15472,15474,
2698,86012,15472,15475,-0.0012153561439423185
2698,86018,15473,15475,
2698,86027,15475,15471,0.00012002801407666698
2698,86029,15475,15473,
2699,86033,15476,15479,0.0002436756005743994
2699,86034,15476,15480,-0.0001810812675436154
2699,86036,15476,15482,0.001963483511823528
2699,86037,15477,15476,0.0007219086042269065
2699,86042,15477,15482,
2699,86043,15478,15476,
2699,86049,15479,15476,
2699,86055,15480,15476,
2699,86065,15481,15480,-0.00019845944165591638
2700,86081,15484,15486,0.000405730276534776
2700,86083,15484,15488,8.434622512583972e-05
2700,86095,15486,15488,
2700,86106,15488,15486,
2700,86109,15489,15483,0.0013311793336927284
2701,86115,15490,15491,0.002466877343866637
2701,86118,15490,15494,
2701,86144,15494,15491,-0.00026909763488890636
2701,86148,15494,15496,-0.00024644726267895824
2701,86155,15495,15496,-0.0018237282806942336
2703,86207,15505,15507,0.00034084921923273326
2703,86222,15506,15508,
2703,86263,15512,15505,-0.00045804360469758974
2704,86279,15514,15518,0.0003762886503869221
2705,86307,15520,15523,0.0016684790848813407
2704,86311,15519,15515,0.0009834012942772992
2705,86326,15523,15520,-0.00042891242735759966
2706,86347,15527,15528,
2707,86418,15536,15535,
2707,86428,15539,15533,
2707,86431,15539,15536,
2712,86445,15551,15552,-0.00021831898151098024
2712,86450,15551,15557,
2715,86518,15565,15567,-0.00027251894509649035
2715,86523,15567,15565,0.001738382487828508
2724,86657,15597,15601,0.0023792208350223772
2725,86678,15604,15608,
2725,86679,15604,15609,
2725,86712,15609,15604,
2726,86722,15613,15612,0.0015825059589474552
2727,86723,15616,15617,
2727,86726,15616,15618,0.00021304254982299067
2727,86750,15618,15617,0.0006928196096206749
2727,86764,15620,15617,
2730,86809,15629,15630,
2730,86811,15629,15632,
2730,86828,15632,15630,-0.0012610890572102938
2730,86830,15632,15631,
2732,86853,15639,15640,
2732,86887,15644,15643,-0.0020667351034768253
2732,86888,15644,15645,-0.0008377416029800933
2732,86894,15645,15644,-0.000278031739783157
2737,86937,15657,15654,
2742,87010,15676,15679,
2742,87030,15679,15678,-0.00016291628906738362
2740,87032,15672,15668,3.328918108840196e-05
2749,87225,15715,15714,-0.0004081079057626551
2749,87232,15715,15720,
2751,87269,15725,15728,
2751,87272,15725,15730,
2751,87282,15726,15728,0.0023762264414678483
2751,87295,15728,15726,
2751,87298,15728,15730,
2751,87300,15728,15732,
2751,87308,15730,15725,0.00011979346705622824
2751,87311,15730,15728,0.0013548675212753931
2752,87334,15734,15733,
2752,87337,15734,15737,
2752,87340,15735,15734,
2752,87342,15735,15737,0.0011763038453532582
2752,87347,15736,15737,0.00016675866499496318
2752,87352,15737,15736,0.0003670300081832695
2754,87410,15747,15749,
2754,87423,15749,15747,-0.0003769910738989241
2754,87425,15749,15750,
2754,87430,15750,15747,-0.0006609365605661647
2755,87459,15754,15757,0.00036929116623888767
2755,87460,15754,15758,0.0007325262164191625
2755,87475,15755,15760,1.8398811880714525e-05
2755,87498,15757,15760,3.537221843878483e-05
2755,87516,15759,15758,0.0009260619988519314
2755,87519,15760,15754,
2755,87523,15760,15758,0.0012576788521502815
2755,87530,15761,15758,0.002336276416765023
2758,87558,15770,15772,8.911319831065299e-05
2768,87774,15815,15818,
2768,87778,15816,15815,0.0003051106921173122
2768,87790,15818,15815,
2768,87799,15819,15818,
2768,87802,15820,15815,0.0005614577873248653
2768,87805,15820,15818,
